member_id,full_name,birth_date,registration_date
1,Valer Kse,2004-05-15,2025-01-10
2,Oleksandr Ivanov,1995-10-20,2025-01-12
3,MARIA PETROVA,1998-03-05,2025-01-15
4,Dmytro Kovalenko,1990-02-01,2025-01-20
5,Olena Sydorenko,1985-07-12,2025-01-22
6,Ihor Melnyk,2000-11-30,2025-01-25
7,Anna Boyko,1993-04-18,2025-01-28
8,Serhiy Tkachuk,1988-09-09,2025-02-01
9,Yulia Kravchenko,1997-12-25,2025-02-03
10,Andriy Shevchenko,1982-06-14,2025-02-05
11,Tetiana Moroz,1996-01-11,2025-02-07
12,Maksym Bondar,2002-08-22,2025-02-10
13,Natalia Oliynyk,1989-03-31,2025-02-12
14,Oleh Pavlenko,1991-05-05,2025-02-14
15,Inna Savchenko,1994-10-10,2025-02-16
16,Vitaliy Lysenko,1987-12-12,2025-02-18
17,Oksana Romaniuk,1999-02-28,2025-02-20
18,Denys Shpak,2001-07-07,2025-02-22
19,Iryna Polishchuk,1984-04-04,2025-02-24
20,Artem Semenov,1992-09-15,2025-02-26
21,Viktoria Kuzmenko,1995-01-01,2025-03-01
22,Roman Zinchenko,1983-11-11,2025-03-03
23,Liudmyla Hrytsenko,1998-06-06,2025-03-05
24,Pavlo Rudenko,2003-03-03,2025-03-07
25,Olga Kravets,1986-08-08,2025-03-09
26,Yevhen Bondarenko,1990-12-24,2025-03-11
27,Svitlana Marchenko,1997-05-19,2025-03-13
28,Ruslan Onyshchenko,1981-10-31,2025-03-15
29,Kateryna Vasylenko,1994-02-14,2025-03-17
30,Kyrylo Tarasov,2000-09-09,2025-03-19
31,Bohdan Mykhailov,1992-07-20,2025-03-21
32,Alina Zakharova,1996-12-12,2025-03-23
33,Mykola Fedorov,1985-04-15,2025-03-25
34,Zhanna Orlova,1999-01-01,2025-03-27
35,Stanislav Volkov,1988-11-20,2025-03-29
36,Daryna Kuznetsova,1993-06-30,2025-03-31
37,Valentyn Soloviov,1982-03-10,2025-04-02
38,Mariya Stepanova,1997-09-25,2025-04-04
39,Valeriy Pavlov,1984-12-05,2025-04-06
40,Larysa Kozlova,1991-08-15,2025-04-08
41,Ihor Voronin,2001-05-20,2025-04-10
42,Nadiia Lebedeva,1995-02-28,2025-04-12
43,Oleksiy Morozov,1989-10-10,2025-04-14
44,Veronika Sorokina,1998-07-07,2025-04-16
45,Heorhiy Novikov,2002-04-04,2025-04-18
46,Alla Ponomariova,1986-01-01,2025-04-20
47,Yaroslav Savin,1994-09-30,2025-04-22
48,Tamara Vasylieva,1983-06-15,2025-04-24
49,Eduard Antonov,1990-03-20,2025-04-26
50,Yelyzaveta Tarasova,1997-11-11,2025-04-28
51,Danylo Matviienko,2000-08-08,2025-05-01
52,Khrystyna Romanova,1992-05-05,2025-05-03
53,Leonid Zakharov,1987-12-31,2025-05-05
54,Zoya Beliakova,1999-04-25,2025-05-07
55,Ostap Danylov,1985-09-15,2025-05-09
56,Polina Sokolova,1993-02-10,2025-05-11
57,Myroslav Kuznietsov,1982-07-20,2025-05-13
58,Oksana Popova,1996-10-30,2025-05-15
59,Vsevolod Konovalov,1988-03-05,2025-05-17
60,Anhelina Medvedieva,2001-11-15,2025-05-19
61,Rostyslav Panov,1994-06-10,2025-05-21
62,Mariia Nikitina,1989-01-25,2025-05-23
63,Anton Koroliov,1991-04-15,2025-05-25
64,Karyna Markova,1998-08-20,2025-05-27
65,Hryhoriy Lysenko,2003-12-05,2025-05-29
66,Lidiia Yakovenko,1986-10-10,2025-05-31
67,Serhiy Filatov,1995-03-15,2025-06-02
68,Emiliia Dudka,1983-07-30,2025-06-04
69,Taras Isayev,1990-12-10,2025-06-06
70,Milana Krylova,1997-02-20,2025-06-08
71,Oleksandr Titov,2000-05-05,2025-06-10
72,Stefaniia Bohdanova,1992-11-15,2025-06-12
73,Makar Myronov,1987-06-25,2025-06-14
74,Solomiia Kostiuk,1999-09-30,2025-06-16
75,Yulian Vorobiov,1985-01-20,2025-06-18
76,Yana Pasternak,1993-04-05,2025-06-20
77,Adam Shvets,1982-08-10,2025-06-22
78,Iryna Honchar,1996-12-15,2025-06-24
79,Marko Kravets,1988-03-25,2025-06-26
80,Eva Sydorenko,2001-10-10,2025-06-28
81,David Bondar,1994-05-20,2025-06-30
82,Varvara Koval,1989-09-15,2025-07-02
83,Lev Danylenko,1991-02-05,2025-07-04
84,Ulyana Sobol,1998-07-15,2025-07-06
85,Platon Zhuk,2003-11-20,2025-07-08
86,Zlata Melnychuk,1986-04-30,2025-07-10
87,Demian Havryliuk,1995-08-10,2025-07-12
88,Mia Tkachenko,1983-01-25,2025-07-14
89,Lukas Boychuk,1990-06-10,2025-07-16
90,Kira Oliynyk,1997-10-05,2025-07-18
91,Nazariy Polishchuk,2000-03-15,2025-07-20
92,Taisiya Babych,1992-09-20,2025-07-22
93,Zakhar Kolesnyk,1987-12-10,2025-07-24
94,Agata Martyniuk,1999-05-30,2025-07-26
95,Sava Shevchuk,1985-02-15,2025-07-28
96,Maya Romanenko,1993-07-10,2025-07-30
97,Adrian Onyshchenko,1982-11-25,2025-08-01
98,Lola Ivanchuk,1996-04-05,2025-08-03
99,Robert Savchenko,1988-08-20,2025-08-05
100,Ameliia Bilous,2001-01-15,2025-08-07
101,Timur Vlasov,1994-06-30,2025-08-09
102,Melania Panasiuk,1989-12-10,2025-08-11
103,Filip Kotov,1991-03-25,2025-08-13
104,Yasmine Hordiienko,1998-09-05,2025-08-15
105,Bruno Klymenko,2003-05-20,2025-08-17
106,Riana Pavliuk,1986-10-15,2025-08-19
107,Marcel Zakharchenko,1995-02-10,2025-08-21
108,Aurora Lysiak,1983-07-25,2025-08-23
109,Oscar Nesterenko,1990-11-30,2025-08-25
110,Elina Shcherbak,1997-04-15,2025-08-27
111,Yan Kovalenko,2000-08-20,2025-08-29
112,Olivia Sydorchuk,1992-01-05,2025-08-31
113,Eric Tymoshenko,1987-05-15,2025-09-02
114,Bella Savchuk,1999-10-30,2025-09-04
115,Felix Rudyk,1985-03-10,2025-09-06
116,Gwen Melnyk,1993-08-25,2025-09-08
117,Hugo Koval,1982-12-15,2025-09-10
118,Iris Bondarenko,1996-06-05,2025-09-12
119,Leo Marchenko,1988-10-20,2025-09-14
120,Vera Moroz,2001-02-15,2025-09-16
